2025-07-08 15:49:12 INFO:Scan avviata su 127.0.0.1 da porta 20 a 1024, UDP: True
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 64: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 65: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 66: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 67: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 68: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 69: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,767 - ERROR - Error scanning UDP port 70: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,767 - ERROR - Error scanning UDP port 71: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,767 - ERROR - Error scanning UDP port 72: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,768 - ERROR - Error scanning UDP port 73: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,768 - ERROR - Error scanning UDP port 74: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,768 - ERROR - Error scanning UDP port 75: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,768 - ERROR - Error scanning UDP port 76: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,769 - ERROR - Error scanning UDP port 77: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,769 - ERROR - Error scanning UDP port 78: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,769 - ERROR - Error scanning UDP port 79: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,769 - ERROR - Error scanning UDP port 80: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,769 - ERROR - Error scanning UDP port 81: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,770 - ERROR - Error scanning UDP port 82: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,770 - ERROR - Error scanning UDP port 83: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,770 - ERROR - Error scanning UDP port 84: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,770 - ERROR - Error scanning UDP port 85: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,771 - ERROR - Error scanning UDP port 86: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 87: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 88: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 89: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 90: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 92: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 93: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 91: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 94: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 96: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 97: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 95: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 98: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 99: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 100: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 101: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 102: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 103: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 104: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 105: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 106: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 107: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
